Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Toronto Edge,Dilithium5,7.66,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium5,980.777,45.316566732,-75.757162994,3.293,208.353
Ottawa Edge,Dilithium5,983.843,45.316417853,-75.758140846,3.468,208.473
Toronto Edge,Dilithium5,16.524,45.316087216,-75.758281087,3.633,245.255
Toronto Edge,Dilithium5,987.725,45.317929917,-75.757569318,3.056,63.757
Georges Home,Dilithium5,2.303,45.316962154,-75.757937664,3.372,149.339
Toronto Edge,Dilithium5,2.507,45.317375606,-75.757784679,3.384,107.021
Georges Home,Dilithium5,5.819,45.315605297,-75.757531338,3.633,303.277
Toronto Edge,Dilithium5,6.613,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium5,988.352,45.315447445,-75.758497,3.022,317.137
Toronto Edge,Dilithium5,985.157,45.317996454,-75.757068018,3.564,94.586
Toronto Edge,Dilithium5,997.193,45.317410283,-75.756825827,3.384,145.655
Georges Home,Dilithium5,983.869,45.317905039,-75.75674976,3.044,121.52
Toronto Edge,Dilithium5,39.555,45.31575381,-75.758406017,3.196,282.692
Georges Home,Dilithium5,6.052,45.31758518,-75.757700342,3.4,87.855
Toronto Edge,Dilithium5,5.002,45.317228293,-75.757843915,3.901,121.577
Ottawa Edge,Dilithium5,988.268,45.316665137,-75.758050237,3.457,181.315
Ottawa Edge,Dilithium5,976.227,45.317944387,-75.756857874,3.365,112.047
Toronto Edge,Dilithium5,2.397,45.31704707,-75.756969405,3.633,168.731
Toronto Edge,Dilithium5,0.865,45.316837371,-75.757050606,3.56,185.153
Toronto Edge,Dilithium5,999.353,45.315715027,-75.757481515,3.633,291.999
Georges Home,Dilithium5,988.537,45.316646526,-75.757128669,3.105,201.323
Toronto Edge,Dilithium5,997.569,45.315994893,-75.758318547,3.033,255.603
Ottawa Edge,Dilithium5,2.717,45.315500325,-75.75849976,3.715,311.293
Toronto Edge,Dilithium5,5.437,45.31704707,-75.756969405,3.633,168.731
Ottawa Edge,Dilithium5,2.606,45.315944782,-75.758331097,3.033,261.206
Toronto Edge,Dilithium5,0.3,45.317474255,-75.757747217,3.644,97.657
Georges Home,Dilithium5,997.128,45.315450335,-75.757584486,3.392,319.6
