Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Ottawa Edge,Dilithium3,3.825,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:55.980295
Georges Home,Dilithium3,4.831,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:54.128610
Ottawa Edge,Dilithium3,957.809,45.315273656,-75.757773793,8.093,337.236,2021-07-29 19:44:18.360070
Georges Home,Dilithium3,979.196,45.315351813,-75.757625085,6.296,329.98,2021-07-29 19:41:57.208468
Toronto Edge,Dilithium3,975.471,45.315420653,-75.75760626,6.664,322.611,2021-07-29 19:40:20.460857
Ottawa Edge,Dilithium3,973.028,45.317996454,-75.757068018,3.564,94.586,2021-07-29 19:39:14.607433
Ottawa Edge,Dilithium3,9.624,45.31752766,-75.756782088,3.293,139.912,2021-07-29 19:35:14.895799
Ottawa Edge,Dilithium3,962.233,45.316799535,-75.757053744,13.94,188.722,2021-07-29 19:43:32.095696
Ottawa Edge,Dilithium3,983.308,45.316129926,-75.757337755,3.728,249.719,2021-07-29 19:38:08.077909
Ottawa Edge,Dilithium3,992.774,45.317490077,-75.756791501,3.293,141.916,2021-07-29 19:35:14.355722
Ottawa Edge,Dilithium3,960.376,45.315702372,-75.757481515,13.412,293.379,2021-07-29 19:43:23.514048
Georges Home,Dilithium3,991.343,45.316067286,-75.757353443,3.725,256.108,2021-07-29 19:38:06.167508
Toronto Edge,Dilithium3,969.93,45.318004514,-75.757234992,7.688,82.088,2021-07-29 19:44:47.715343
Georges Home,Dilithium3,990.951,45.317344349,-75.757794092,3.365,110.122,2021-07-29 19:36:13.924160
Toronto Edge,Dilithium3,974.608,45.315349897,-75.758283915,6.178,327.182,2021-07-29 19:41:48.740780
Toronto Edge,Dilithium3,965.053,45.315880916,-75.758393279,12.528,268.532,2021-07-29 19:43:05.942744
Ottawa Edge,Dilithium3,963.041,45.317988743,-75.757160823,6.746,88.128,2021-07-29 19:42:41.606049
Toronto Edge,Dilithium3,7.735,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:39.628607
Georges Home,Dilithium3,2.791,45.315293331,-75.758293328,3.064,333.483,2021-07-29 19:33:40.503102
Toronto Edge,Dilithium3,998.363,45.317252027,-75.757831554,3.548,119.241,2021-07-29 19:36:16.855696
Ottawa Edge,Dilithium3,964.352,45.317003286,-75.756981956,7.991,172.2,2021-07-29 19:42:23.238260
Ottawa Edge,Dilithium3,966.586,45.315647634,-75.757509564,7.907,298.947,2021-07-29 19:42:03.108133
Ottawa Edge,Dilithium3,979.066,45.316597989,-75.757153581,3.293,205.452,2021-07-29 19:38:23.166373
Georges Home,Dilithium3,993.339,45.315660162,-75.757506427,3.366,297.623,2021-07-29 19:34:10.205199
Toronto Edge,Dilithium3,998.907,45.315370541,-75.75761881,3.056,327.986,2021-07-29 19:34:01.052533
Ottawa Edge,Dilithium3,985.486,45.315679148,-75.75843739,3.196,291.124,2021-07-29 19:37:11.894776
Georges Home,Dilithium3,979.446,45.317483876,-75.756794639,3.667,142.16,2021-07-29 19:38:50.693939
