Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m),Time
Toronto Edge,Dilithium5,7.66,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:04.176801
Ottawa Edge,Dilithium2,988.594,45.318009077,-75.757117463,2.675,90.463,2021-07-29 19:35:41.171096
Ottawa Edge,Rainbow-I-Classic,979.181,45.31799394,-75.757460824,6.19,66.73,2021-07-29 19:41:05.310852
Ottawa Edge,Dilithium5,980.777,45.316566732,-75.757162994,3.293,208.353,2021-07-29 19:38:21.588296
Ottawa Edge,Dilithium3,3.825,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:55.980295
Georges Home,Dilithium2,30.129,45.315722801,-75.757490739,3.377,291.013,2021-07-29 19:34:12.213488
Ottawa Edge,Dilithium5,983.843,45.316417853,-75.758140846,3.468,208.473,2021-07-29 19:36:46.156444
Ottawa Edge,Rainbow-I-Classic,5.54,45.316358354,-75.75725028,3.209,227.53,2021-07-29 19:34:34.265207
Ottawa Edge,Dilithium2,995.294,45.316035909,-75.758290688,2.929,250.976,2021-07-29 19:37:00.177098
Ottawa Edge,Dilithium2,965.025,45.316466383,-75.757184958,7.919,218.033,2021-07-29 19:42:14.953563
Ottawa Edge,Dilithium2,970.2,45.317875231,-75.756768397,7.229,121.383,2021-07-29 19:40:55.973339
Georges Home,Dilithium2,995.417,45.316837371,-75.757050606,3.56,185.153,2021-07-29 19:34:51.934492
Georges Home,Dilithium3,4.831,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:54.128610
Toronto Edge,Dilithium5,16.524,45.316087216,-75.758281087,3.633,245.255,2021-07-29 19:33:10.662649
Toronto Edge,Dilithium5,987.725,45.317929917,-75.757569318,3.056,63.757,2021-07-29 19:39:31.539937
Ottawa Edge,Dilithium3,957.809,45.315273656,-75.757773793,8.093,337.236,2021-07-29 19:44:18.360070
Ottawa Edge,Dilithium2,997.356,45.315841505,-75.758384055,3.105,272.865,2021-07-29 19:33:19.764984
Georges Home,Dilithium5,2.303,45.316962154,-75.757937664,3.372,149.339,2021-07-29 19:32:42.107266
Toronto Edge,Dilithium5,2.507,45.317375606,-75.757784679,3.384,107.021,2021-07-29 19:36:12.567134
Ottawa Edge,Rainbow-I-Classic,978.372,45.317875231,-75.756768397,7.229,121.383,2021-07-29 19:40:55.718950
