Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Ottawa Edge,Rainbow-V-Classic,55.893,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:46.008397
Toronto Edge,Rainbow-V-Classic,61.013,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:48.369914
Georges Home,Rainbow-V-Classic,107.224,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:54.292408
Georges Home,Rainbow-V-Classic,115.764,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:47.549368
Toronto Edge,Rainbow-V-Classic,55.61,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:50.779698
Toronto Edge,Rainbow-V-Classic,56.019,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:03.287695
Ottawa Edge,Rainbow-V-Classic,52.227,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:58.565605
Georges Home,Rainbow-V-Classic,122.994,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:44.578708
Georges Home,Rainbow-V-Classic,112.516,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:59.860717
Ottawa Edge,Rainbow-V-Classic,60.567,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:55.739773
Georges Home,Rainbow-V-Classic,118.608,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:50.015060
Ottawa Edge,Rainbow-V-Classic,57.651,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:48.947390
Ottawa Edge,Rainbow-V-Classic,59.618,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:51.200037
Georges Home,Rainbow-V-Classic,121.443,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:56.942638
Toronto Edge,Rainbow-V-Classic,54.425,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:00.678427
Toronto Edge,Rainbow-V-Classic,57.436,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:54.836231
Ottawa Edge,Rainbow-V-Classic,57.859,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:01.530152
Georges Home,Rainbow-V-Classic,119.186,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:52.179057
Georges Home,Rainbow-V-Classic,124.076,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:05.056780
Toronto Edge,Rainbow-V-Classic,59.23,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:58.011871
Toronto Edge,Rainbow-V-Classic,66.967,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:45.480115
Georges Home,Rainbow-V-Classic,120.366,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:02.696788
Ottawa Edge,Rainbow-V-Classic,61.112,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:53.356373
Toronto Edge,Rainbow-V-Classic,59.755,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:52.696480
Ottawa Edge,Rainbow-V-Classic,62.846,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:04.001094
