Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Ottawa Edge,Dilithium3,3.825,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium3,4.831,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium3,957.809,45.315273656,-75.757773793,8.093,337.236
Georges Home,Dilithium3,979.196,45.315351813,-75.757625085,6.296,329.98
Toronto Edge,Dilithium3,975.471,45.315420653,-75.75760626,6.664,322.611
Ottawa Edge,Dilithium3,973.028,45.317996454,-75.757068018,3.564,94.586
Ottawa Edge,Dilithium3,9.624,45.31752766,-75.756782088,3.293,139.912
Ottawa Edge,Dilithium3,962.233,45.316799535,-75.757053744,13.94,188.722
Ottawa Edge,Dilithium3,983.308,45.316129926,-75.757337755,3.728,249.719
Ottawa Edge,Dilithium3,992.774,45.317490077,-75.756791501,3.293,141.916
Ottawa Edge,Dilithium3,960.376,45.315702372,-75.757481515,13.412,293.379
Georges Home,Dilithium3,991.343,45.316067286,-75.757353443,3.725,256.108
Toronto Edge,Dilithium3,969.93,45.318004514,-75.757234992,7.688,82.088
Georges Home,Dilithium3,990.951,45.317344349,-75.757794092,3.365,110.122
Toronto Edge,Dilithium3,974.608,45.315349897,-75.758283915,6.178,327.182
Toronto Edge,Dilithium3,965.053,45.315880916,-75.758393279,12.528,268.532
Ottawa Edge,Dilithium3,963.041,45.317988743,-75.757160823,6.746,88.128
Toronto Edge,Dilithium3,7.735,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium3,2.791,45.315293331,-75.758293328,3.064,333.483
Toronto Edge,Dilithium3,998.363,45.317252027,-75.757831554,3.548,119.241
Ottawa Edge,Dilithium3,964.352,45.317003286,-75.756981956,7.991,172.2
Ottawa Edge,Dilithium3,966.586,45.315647634,-75.757509564,7.907,298.947
Ottawa Edge,Dilithium3,979.066,45.316597989,-75.757153581,3.293,205.452
Georges Home,Dilithium3,993.339,45.315660162,-75.757506427,3.366,297.623
Toronto Edge,Dilithium3,998.907,45.315370541,-75.75761881,3.056,327.986
Ottawa Edge,Dilithium3,985.486,45.315679148,-75.75843739,3.196,291.124
Georges Home,Dilithium3,979.446,45.317483876,-75.756794639,3.667,142.16
Ottawa Edge,Dilithium3,996.259,45.315381278,-75.758478553,3.416,324.37
Georges Home,Dilithium3,994.702,45.316868627,-75.757041193,3.384,182.492
Toronto Edge,Dilithium3,979.761,45.317812413,-75.757609918,6.25,70.612
Toronto Edge,Dilithium3,14.76,45.317756215,-75.756697746,3.19,131.951
Toronto Edge,Dilithium3,999.304,45.315691418,-75.757497014,3.468,294.345
Georges Home,Dilithium3,960.139,45.315259743,-75.757869732,7.922,338.118
Toronto Edge,Dilithium3,975.805,45.318015658,-75.757324659,6.724,75.149
Ottawa Edge,Dilithium3,4.97,45.315890043,-75.758359145,3.293,267.38
