Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Toronto Edge,Dilithium5,7.66,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium2,988.594,45.318009077,-75.757117463,2.675,90.463
Ottawa Edge,Rainbow-I-Classic,979.181,45.31799394,-75.757460824,6.19,66.73
Ottawa Edge,Dilithium5,980.777,45.316566732,-75.757162994,3.293,208.353
Ottawa Edge,Dilithium3,3.825,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium2,30.129,45.315722801,-75.757490739,3.377,291.013
Ottawa Edge,Dilithium5,983.843,45.316417853,-75.758140846,3.468,208.473
Ottawa Edge,Rainbow-I-Classic,5.54,45.316358354,-75.75725028,3.209,227.53
Ottawa Edge,Dilithium2,995.294,45.316035909,-75.758290688,2.929,250.976
Ottawa Edge,Dilithium2,965.025,45.316466383,-75.757184958,7.919,218.033
Ottawa Edge,Dilithium2,970.2,45.317875231,-75.756768397,7.229,121.383
Georges Home,Dilithium2,995.417,45.316837371,-75.757050606,3.56,185.153
Georges Home,Dilithium3,4.831,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium5,16.524,45.316087216,-75.758281087,3.633,245.255
Toronto Edge,Dilithium5,987.725,45.317929917,-75.757569318,3.056,63.757
Ottawa Edge,Dilithium3,957.809,45.315273656,-75.757773793,8.093,337.236
Ottawa Edge,Dilithium2,997.356,45.315841505,-75.758384055,3.105,272.865
Georges Home,Dilithium5,2.303,45.316962154,-75.757937664,3.372,149.339
Toronto Edge,Dilithium5,2.507,45.317375606,-75.757784679,3.384,107.021
Ottawa Edge,Rainbow-I-Classic,978.372,45.317875231,-75.756768397,7.229,121.383
Georges Home,Dilithium3,979.196,45.315351813,-75.757625085,6.296,329.98
Toronto Edge,Dilithium2,4.933,45.31753532,-75.757719168,3.644,92.239
Georges Home,Dilithium5,5.819,45.315605297,-75.757531338,3.633,303.277
Toronto Edge,Dilithium5,6.613,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-I-Classic,997.276,45.31533589,-75.758327273,3.368,328.825
Toronto Edge,Rainbow-I-Classic,972.293,45.315362393,-75.758330222,8.974,325.889
Toronto Edge,Dilithium2,992.277,45.315381622,-75.757606449,3.503,326.903
Toronto Edge,Dilithium2,983.023,45.316129926,-75.757337755,3.728,249.719
Ottawa Edge,Dilithium2,973.647,45.31553183,-75.757565661,7.288,310.882
Toronto Edge,Dilithium2,988.849,45.31537681,-75.758447745,2.904,324.711
Georges Home,Dilithium2,9.064,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium2,972.075,45.316128225,-75.757322256,8.355,250.232
Ottawa Edge,Dilithium2,986.578,45.316325531,-75.758178306,3.188,218.69
Georges Home,Dilithium2,981.716,45.315655666,-75.758456026,3.209,293.825
Ottawa Edge,Dilithium2,998.067,45.315747857,-75.757484464,3.728,288.375
Georges Home,Rainbow-III-Classic,54.461,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium2,968.488,45.317505638,-75.757740942,8.163,94.6
Ottawa Edge,Dilithium2,983.145,45.31801232,-75.75719477,3.459,84.676
Ottawa Edge,Dilithium5,988.352,45.315447445,-75.758497,3.022,317.137
Toronto Edge,Dilithium5,985.157,45.317996454,-75.757068018,3.564,94.586
Toronto Edge,Dilithium2,966.902,45.318015658,-75.757324659,6.724,75.149
Toronto Edge,Dilithium2,1.661,45.315480145,-75.757565851,3.56,316.551
Toronto Edge,Dilithium3,975.471,45.315420653,-75.75760626,6.664,322.611
Ottawa Edge,Rainbow-I-Classic,974.623,45.315647634,-75.757509564,7.907,298.947
Georges Home,Rainbow-I-Classic,975.412,45.315802595,-75.757456415,8.083,282.854
Ottawa Edge,Rainbow-I-Classic,2.223,45.318025197,-75.757451411,2.741,65.725
Ottawa Edge,Dilithium3,973.028,45.317996454,-75.757068018,3.564,94.586
