Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Rainbow-III-Classic,54.461,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-III-Classic,31.197,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-III-Classic,34.096,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-III-Classic,39.519,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-III-Classic,51.848,45.317888902,-75.757597179,2.753,65.138
Georges Home,Rainbow-III-Classic,53.709,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-III-Classic,32.454,45.317924912,-75.757575404,1.814,63.744
Ottawa Edge,Rainbow-III-Classic,39.773,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-III-Classic,56.526,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-III-Classic,53.298,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-III-Classic,47.83,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-III-Classic,37.065,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-III-Classic,41.056,45.31783259,-75.757612867,3.281,68.776
Ottawa Edge,Rainbow-III-Classic,44.968,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-III-Classic,33.456,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-III-Classic,62.581,45.317924912,-75.757575404,1.814,63.744
Toronto Edge,Rainbow-III-Classic,34.481,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-III-Classic,60.623,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-III-Classic,32.462,45.317746468,-75.757647192,3.644,74.577
Ottawa Edge,Rainbow-III-Classic,34.621,45.317863846,-75.757603454,3.097,66.745
Ottawa Edge,Rainbow-III-Classic,34.61,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-III-Classic,36.964,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-III-Classic,51.569,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-III-Classic,38.049,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-III-Classic,29.226,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-III-Classic,51.227,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-III-Classic,36.571,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-III-Classic,61.428,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-III-Classic,34.131,45.317924912,-75.757575404,1.814,63.744
Toronto Edge,Rainbow-III-Classic,38.431,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-III-Classic,31.944,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-III-Classic,30.418,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-III-Classic,35.784,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-III-Classic,39.678,45.317888902,-75.757597179,2.753,65.138
Georges Home,Rainbow-III-Classic,50.235,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-III-Classic,36.495,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-III-Classic,34.479,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-III-Classic,44.643,45.31793744,-75.757572266,1.158,63.051
Georges Home,Rainbow-III-Classic,56.748,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-III-Classic,34.632,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-III-Classic,54.772,45.31783259,-75.757612867,3.281,68.776
Ottawa Edge,Rainbow-III-Classic,32.923,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-III-Classic,53.502,45.317949967,-75.757569129,0.707,62.381
Georges Home,Rainbow-III-Classic,56.506,45.317949967,-75.757569129,0.0,62.381
