Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m),,
Georges Home,Dilithium2,130.962,45.316453333,-75.757141667,2.75,220.637,,64.0927622080679
Georges Home,Dilithium2,114.563,45.31797,-75.756921667,3.123,106.374,,17.443
Georges Home,Dilithium2,22.301,45.317625,-75.757691667,7.135,84.233,,863.714
Georges Home,Dilithium2,34.433,45.315973333,-75.757371667,14.43,265.855,,
Georges Home,Dilithium2,27.957,45.317466667,-75.756758333,13.144,145.575,,
Georges Home,Dilithium2,26.412,45.317766667,-75.756633333,2.619,135.97,,
Georges Home,Dilithium2,90.906,45.31522,-75.757906667,6.886,342.317,,
Georges Home,Dilithium2,46.291,45.31568,-75.75848,7.877,291.264,,
Georges Home,Dilithium2,108.577,45.315626667,-75.758498333,3.313,297.285,,
Georges Home,Dilithium2,115.42,45.316971667,-75.75694,3.279,176.95,,
Georges Home,Dilithium2,21.655,45.317245,-75.757856667,3.22,119.542,,
Georges Home,Dilithium2,37.899,45.315385,-75.758508333,2.804,324.124,,
Georges Home,Dilithium2,37.103,45.317208333,-75.757863333,7.979,123.404,,
Georges Home,Dilithium2,31.854,45.317288333,-75.75683,3.663,154.882,,
Georges Home,Dilithium2,35.828,45.31746,-75.756766667,8.128,145.539,,
Georges Home,Dilithium2,118.108,45.317986667,-75.75751,0.434,63.844,,
Georges Home,Dilithium2,30.778,45.316503333,-75.757178333,15.006,214.408,,
Georges Home,Dilithium2,23.11,45.317456667,-75.756776667,7.933,145.172,,
Georges Home,Dilithium2,203.196,45.315735,-75.75845,3.102,284.997,,
Georges Home,Dilithium2,45.26,45.317976667,-75.756933333,6.791,105.263,,
Georges Home,Dilithium2,39.122,45.31801,-75.757106667,7.043,91.221,,
Georges Home,Dilithium2,33.398,45.315731667,-75.757453333,3.503,290.621,,
Georges Home,Dilithium2,28.985,45.315505,-75.75754,3.406,314.15,,
Georges Home,Dilithium2,42.162,45.317888333,-75.757593333,4.279,65.4,,
Georges Home,Dilithium2,34.961,45.317685,-75.756686667,11.698,136.468,,
Georges Home,Dilithium2,51.856,45.31796,-75.756836667,3.223,113.029,,
Georges Home,Dilithium2,30.948,45.317625,-75.757691667,7.135,84.233,,
Georges Home,Dilithium2,114.316,45.315496667,-75.758536667,2.865,311.93,,
Georges Home,Dilithium2,26.577,45.316013333,-75.758345,8.262,253.641,,
Georges Home,Dilithium2,35.372,45.317115,-75.757915,8.52,132.819,,
Georges Home,Dilithium2,30.001,45.31567,-75.757476667,3.395,296.983,,
Georges Home,Dilithium2,29.649,45.317653333,-75.757686667,2.973,81.662,,
Georges Home,Dilithium2,104.06,45.317988333,-75.757503333,0,64.189,,
Georges Home,Dilithium2,110.311,45.315555,-75.75752,2.793,308.936,,
Georges Home,Dilithium2,35.941,45.315763333,-75.757441667,3.636,287.362,,
Georges Home,Dilithium2,32.592,45.317258333,-75.75684,3.887,156.77,,
Georges Home,Dilithium2,30.551,45.316448333,-75.758166667,7.866,205.051,,
Georges Home,Dilithium2,33.075,45.316615,-75.75711,14.508,205.118,,
Georges Home,Dilithium2,36.647,45.317686667,-75.757663333,7.079,79.409,,
Georges Home,Dilithium2,20.797,45.31651,-75.758141667,3.292,198.233,,
Georges Home,Dilithium2,103.766,45.31626,-75.757216667,3.421,238.724,,
Georges Home,Dilithium2,36.926,45.318001667,-75.75708,3.272,93.504,,
Georges Home,Dilithium2,33.092,45.316971667,-75.756968333,8.072,175.721,,
Georges Home,Dilithium2,114.768,45.315891667,-75.758385,2.732,267.303,,
Georges Home,Dilithium2,32.098,45.315331667,-75.758396667,6.742,329.506,,
Georges Home,Dilithium2,33.647,45.317695,-75.757675,11.692,78.139,,
Georges Home,Dilithium2,31.462,45.317731667,-75.756656667,7.664,136.061,,
Georges Home,Dilithium2,171.95,45.3167,-75.757046667,2.645,198.774,,
Georges Home,Dilithium2,44.469,45.316113333,-75.757293333,2.809,252.452,,
Georges Home,Dilithium2,106.091,45.315375,-75.758466667,2.613,325.004,,
Georges Home,Dilithium2,21.752,45.317738333,-75.757656667,3.406,74.891,,
Georges Home,Dilithium2,28.602,45.317601667,-75.756711667,3.174,139.644,,
Georges Home,Dilithium2,37.349,45.317933333,-75.756783333,2.824,117.959,,
Georges Home,Dilithium2,29.84,45.316245,-75.757266667,7.699,239.076,,
Georges Home,Dilithium2,27.49,45.318015,-75.757161667,3.251,86.987,,
Georges Home,Dilithium2,35.846,45.316553333,-75.757115,3.536,211.211,,
Georges Home,Dilithium2,44.837,45.316136667,-75.757283333,2.709,250.188,,
Georges Home,Dilithium2,27.164,45.317966667,-75.757555,0,62.16,,
Georges Home,Dilithium2,123.261,45.317215,-75.757868333,3.457,122.597,,
Georges Home,Dilithium2,100.598,45.3177,-75.75666,2.887,137.481,,
Georges Home,Dilithium2,32.673,45.315695,-75.757488333,12.604,294.082,,
Georges Home,Dilithium2,41.461,45.316448333,-75.758166667,7.866,205.051,,
Georges Home,Dilithium2,28.016,45.317198333,-75.757868333,14.404,124.408,,
Georges Home,Dilithium2,28.133,45.31796,-75.756836667,3.015,113.029,,
Georges Home,Dilithium2,34.521,45.315291667,-75.758286667,3.394,333.657,,
Georges Home,Dilithium2,28.353,45.31533,-75.75835,10.011,329.539,,
Georges Home,Dilithium2,26.876,45.315336667,-75.757628333,3.189,331.613,,
Georges Home,Dilithium2,28.258,45.317935,-75.756726667,2.35,122.088,,
Georges Home,Dilithium2,24.294,45.315785,-75.758423333,12.208,279.314,,
Georges Home,Dilithium2,154.664,45.316993333,-75.756953333,3.827,174.369,,
Georges Home,Dilithium2,23.943,45.315833333,-75.757431667,8.269,279.922,,
Georges Home,Dilithium2,46.056,45.315986667,-75.757368333,8.756,264.483,,
Georges Home,Dilithium2,27.286,45.316661667,-75.75808,7.699,181.565,,
Georges Home,Dilithium2,108.566,45.3164,-75.758186667,2.674,210.41,,
Georges Home,Dilithium2,129.734,45.316778333,-75.758036667,2.925,168.839,,
Georges Home,Dilithium2,28.765,45.317411667,-75.756786667,3.425,147.836,,
Georges Home,Dilithium2,104.51,45.317058333,-75.756911667,3.015,170.347,,
Georges Home,Dilithium2,27.28,45.317598333,-75.75671,7.814,139.957,,
Georges Home,Dilithium2,18.856,45.317653333,-75.757686667,2.973,81.662,,
Georges Home,Dilithium2,26.248,45.317811667,-75.756648333,2.782,132.817,,
Georges Home,Dilithium2,118.011,45.315448333,-75.758535,2.67,317.272,,
Georges Home,Dilithium2,105.411,45.317295,-75.756828333,3.061,154.44,,
Georges Home,Dilithium2,31.286,45.317653333,-75.757686667,3.066,81.662,,
Georges Home,Dilithium2,35.32,45.316043333,-75.757346667,7.897,258.816,,
Georges Home,Dilithium2,104.999,45.317518333,-75.756735,3.226,143.481,,
Georges Home,Dilithium2,33.172,45.317966667,-75.757536667,0,63.333,,
Georges Home,Dilithium2,112.809,45.315321667,-75.758333333,2.287,330.42,,
Georges Home,Dilithium2,24.814,45.317548333,-75.756733333,3.066,141.61,,
Georges Home,Dilithium2,28.032,45.317188333,-75.757883333,8.648,125.258,,
Georges Home,Dilithium2,30.456,45.315336667,-75.757628333,3.189,331.613,,
Georges Home,Dilithium2,40.959,45.317785,-75.756666667,10.967,132.736,,
Georges Home,Dilithium2,36.751,45.317278333,-75.757835,8.269,116.339,,
Georges Home,Dilithium2,105.742,45.315303333,-75.75827,2.881,332.336,,
Georges Home,Dilithium2,170.418,45.315903333,-75.757371667,3.19,273.407,,
Georges Home,Dilithium2,107.463,45.315521667,-75.758531667,2.854,309.129,,
Georges Home,Dilithium2,106.79,45.315245,-75.757953333,2.793,339.318,,
Georges Home,Dilithium2,106.839,45.316701667,-75.75807,2.887,177.168,,
Georges Home,Dilithium2,27.985,45.315816667,-75.758426667,13.376,275.818,,
Georges Home,Dilithium2,32.171,45.317966667,-75.757536667,0,63.333,,
Georges Home,Dilithium2,31.488,45.317036667,-75.757935,12.239,141.171,,
Georges Home,Dilithium2,26.142,45.31781,-75.75761,7.161,70.811,,
Georges Home,Dilithium2,28.091,45.315478333,-75.758513333,12.228,313.812,,
Georges Home,Dilithium2,31.228,45.317333333,-75.757823333,10.253,110.663,,
Georges Home,Dilithium2,36.174,45.317858333,-75.756658333,2.624,130.085,,
Georges Home,Dilithium2,107.285,45.315725,-75.757446667,3.128,291.452,,
Georges Home,Dilithium2,130.046,45.315391667,-75.758441667,10.162,323.034,,
Georges Home,Dilithium2,107.691,45.316088333,-75.758305,2.588,245.188,,
Georges Home,Dilithium2,115.854,45.3177,-75.75666,2.814,137.481,,
Georges Home,Dilithium2,25.142,45.317243333,-75.75686,13.499,156.944,,
Georges Home,Dilithium2,45.756,45.31744,-75.757771667,3.215,100.56,,
Georges Home,Dilithium2,27.387,45.317635,-75.757688333,8.005,83.38,,
Georges Home,Dilithium2,111.845,45.316025,-75.75833,2.532,252.295,,
Georges Home,Dilithium2,134.874,45.315883333,-75.7584,7.892,268.294,,
Georges Home,Dilithium2,27.064,45.317456667,-75.756776667,7.933,145.172,,
Georges Home,Dilithium2,114.027,45.31551,-75.757543333,2.804,313.559,,
Georges Home,Dilithium2,63.388,45.315905,-75.757403333,8.241,272.648,,
Georges Home,Dilithium2,107.517,45.317991667,-75.757495,0.68,64.551,,
Georges Home,Dilithium2,42.135,45.316795,-75.758026667,7.789,167.053,,
Georges Home,Dilithium2,33.703,45.315666667,-75.758486667,7.49,292.781,,
Georges Home,Dilithium2,55.802,45.31553,-75.75755,7.897,311.281,,
Georges Home,Dilithium2,106.808,45.315981667,-75.757336667,3.133,265.642,,
Georges Home,Dilithium2,54.623,45.316425,-75.757191667,8.305,222.135,,
Georges Home,Dilithium2,32.333,45.317496667,-75.757748333,3.19,95.307,,
Georges Home,Dilithium2,103.664,45.315761667,-75.758438333,3.195,281.978,,
Georges Home,Dilithium2,112.738,45.316225,-75.757251667,3.55,241.552,,
Georges Home,Dilithium2,102.183,45.316875,-75.757995,2.896,158.424,,
Georges Home,Dilithium2,70.274,45.318021667,-75.757236667,3.627,81.239,,
Georges Home,Dilithium2,48.074,45.315208333,-75.757908333,3.185,343.602,,
Georges Home,Dilithium2,136.263,45.315253333,-75.758018333,2.624,338.142,,
Georges Home,Dilithium2,27.36,45.317966667,-75.757555,0,62.16,,
