Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Dilithium5,104.237,45.316726667,-75.75806,3.102,174.442
Georges Home,Dilithium5,35.086,45.317468333,-75.756763333,3.051,145.154
Georges Home,Dilithium5,25.15,45.31601,-75.758338333,3.19,253.988
Georges Home,Dilithium5,22.135,45.316448333,-75.758161667,3.606,205.056
Georges Home,Dilithium5,35.938,45.317888333,-75.757578333,6.539,66.259
Georges Home,Dilithium5,27.579,45.31649,-75.757163333,14.492,216.222
Georges Home,Dilithium5,37.647,45.315245,-75.757903333,8.833,339.562
Georges Home,Dilithium5,168.391,45.31801,-75.757045,9.345,95.774
Georges Home,Dilithium5,23.256,45.317253333,-75.756855,7.938,156.383
Georges Home,Dilithium5,40.964,45.316708333,-75.758065,3.328,176.451
Georges Home,Dilithium5,110.818,45.317088333,-75.757913333,3.143,135.763
Georges Home,Dilithium5,115.955,45.317415,-75.75778,3.102,102.974
Georges Home,Dilithium5,26.247,45.31523,-75.757728333,2.801,342.43
Georges Home,Dilithium5,50.372,45.316256667,-75.75724,3.663,238.492
Georges Home,Dilithium5,23.468,45.315703333,-75.758463333,3.478,288.581
Georges Home,Dilithium5,37.771,45.31601,-75.758338333,3.102,253.988
Georges Home,Dilithium5,38.142,45.317925,-75.757576667,3.102,63.662
Georges Home,Dilithium5,110.87,45.315891667,-75.758385,2.854,267.303
Georges Home,Dilithium5,33.282,45.315346667,-75.757633333,8.499,330.459
Georges Home,Dilithium5,48.797,45.316438333,-75.757166667,3.411,221.459
Georges Home,Dilithium5,225.189,45.316001667,-75.758336667,2.392,254.908
Georges Home,Dilithium5,25.106,45.316065,-75.758313333,3.245,247.802
Georges Home,Dilithium5,29.062,45.317043333,-75.75694,8.169,170.397
Georges Home,Dilithium5,22.779,45.316856667,-75.758006667,3.787,160.362
Georges Home,Dilithium5,35.677,45.316766667,-75.758041667,3.436,170.103
Georges Home,Dilithium5,29.259,45.316583333,-75.757103333,3.395,208.538
Georges Home,Dilithium5,48.387,45.315803333,-75.758426667,3.447,277.297
Georges Home,Dilithium5,57.884,45.317786667,-75.756653333,7.254,133.605
Georges Home,Dilithium5,116.924,45.317978333,-75.756961667,3.128,103.109
Georges Home,Dilithium5,36.032,45.315291667,-75.758286667,3.394,333.657
Georges Home,Dilithium5,31.938,45.31785,-75.756665,7.233,129.948
Georges Home,Dilithium5,59.179,45.316093333,-75.758303333,3.636,244.628
Georges Home,Dilithium5,27.73,45.318058333,-75.757386667,2.727,68.808
Georges Home,Dilithium5,123.107,45.315935,-75.758378333,14.221,262.465
Georges Home,Dilithium5,55.557,45.315385,-75.758508333,2.737,324.124
Georges Home,Dilithium5,35.217,45.317766667,-75.756633333,2.619,135.97
Georges Home,Dilithium5,32.05,45.316588333,-75.758105,14.293,189.619
Georges Home,Dilithium5,30.05,45.318015,-75.757161667,3.223,86.987
Georges Home,Dilithium5,36.818,45.317521667,-75.756743333,3.066,142.736
Georges Home,Dilithium5,105.012,45.315626667,-75.757488333,2.887,301.542
Georges Home,Dilithium5,39.95,45.317225,-75.756855,3.982,158.724
Georges Home,Dilithium5,74.875,45.315225,-75.757821667,6.559,342.273
Georges Home,Dilithium5,111.849,45.316156667,-75.758281667,2.674,237.54
Georges Home,Dilithium5,36.735,45.317183333,-75.756883333,7.994,160.783
Georges Home,Dilithium5,206.11,45.315848333,-75.757391667,3.112,278.989
Georges Home,Dilithium5,40.413,45.31803,-75.757283333,3.774,77.5
Georges Home,Dilithium5,32.543,45.317625,-75.757691667,7.205,84.233
Georges Home,Dilithium5,28.153,45.318051667,-75.757271667,8.623,77.481
Georges Home,Dilithium5,106.74,45.318011667,-75.757495,0.614,63.426
Georges Home,Dilithium5,29.87,45.316318333,-75.757215,3.596,232.641
Georges Home,Dilithium5,23.186,45.315245,-75.758098333,10.397,338.863
Georges Home,Dilithium5,29.354,45.316275,-75.758236667,3.457,224.32
Georges Home,Dilithium5,122.937,45.31799,-75.7575,0.34,64.314
Georges Home,Dilithium5,111.459,45.315285,-75.758198333,3.025,334.326
Georges Home,Dilithium5,117.563,45.31649,-75.758153333,2.495,200.437
Georges Home,Dilithium5,133.22,45.316943333,-75.756951667,3.279,179.071
Georges Home,Dilithium5,27.145,45.317126667,-75.756896667,3.781,165.015
Georges Home,Dilithium5,28.556,45.317966667,-75.757555,0.0,62.16
Georges Home,Dilithium5,39.992,45.315865,-75.7584,3.494,270.328
Georges Home,Dilithium5,29.948,45.317915,-75.756721667,7.262,123.199
Georges Home,Dilithium5,37.902,45.316425,-75.757191667,8.305,222.135
Georges Home,Dilithium5,26.777,45.315233333,-75.757965,10.535,340.562
Georges Home,Dilithium5,33.871,45.316093333,-75.758303333,3.436,244.628
Georges Home,Dilithium5,29.135,45.316593333,-75.758113333,3.303,189.039
Georges Home,Dilithium5,31.152,45.317786667,-75.756653333,7.254,133.605
Georges Home,Dilithium5,110.879,45.317606667,-75.7577,3.123,85.734
