Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Rainbow-I-Classic,49.808,45.316493333,-75.757143333,3.575,216.473
Georges Home,Dilithium5,104.237,45.316726667,-75.75806,3.102,174.442
Georges Home,Rainbow-III-Classic,77.54,45.317985,-75.757525,2.387,62.953
Georges Home,Rainbow-III-Classic,75.961,45.31686,-75.757008333,14.293,184.613
Georges Home,Dilithium5,35.086,45.317468333,-75.756763333,3.051,145.154
Georges Home,Dilithium2,130.962,45.316453333,-75.757141667,2.75,220.637
Georges Home,Dilithium2,114.563,45.31797,-75.756921667,3.123,106.374
Georges Home,Dilithium5,25.15,45.31601,-75.758338333,3.19,253.988
Georges Home,Rainbow-III-Classic,82.998,45.316596667,-75.757121667,7.578,206.596
Georges Home,Dilithium3,145.163,45.317026667,-75.756938333,3.812,171.985
Georges Home,Dilithium3,114.051,45.315226667,-75.757761667,2.381,342.527
Georges Home,Dilithium3,105.598,45.317488333,-75.756745,3.2,144.889
Georges Home,Dilithium3,38.177,45.316181667,-75.758281667,14.466,234.763
Georges Home,Dilithium2,22.301,45.317625,-75.757691667,7.135,84.233
Georges Home,Dilithium5,22.135,45.316448333,-75.758161667,3.606,205.056
Georges Home,Dilithium3,41.795,45.318021667,-75.757491667,6.009,63.114
Georges Home,Dilithium2,34.433,45.315973333,-75.757371667,14.43,265.855
Georges Home,Dilithium2,27.957,45.317466667,-75.756758333,13.144,145.575
Georges Home,Rainbow-III-Classic,77.613,45.317915,-75.756721667,7.022,123.199
Georges Home,Dilithium3,21.449,45.316921667,-75.757985,3.457,153.348
Georges Home,Dilithium2,26.412,45.317766667,-75.756633333,2.619,135.97
Georges Home,Dilithium5,35.938,45.317888333,-75.757578333,6.539,66.259
Georges Home,Dilithium2,90.906,45.31522,-75.757906667,6.886,342.317
Georges Home,Rainbow-I-Classic,38.517,45.317245,-75.757856667,3.102,119.542
Georges Home,Dilithium3,28.165,45.318038333,-75.757508333,2.284,61.089
Georges Home,Dilithium5,27.579,45.31649,-75.757163333,14.492,216.222
Georges Home,Dilithium5,37.647,45.315245,-75.757903333,8.833,339.562
Georges Home,Rainbow-III-Classic,181.11,45.317033333,-75.757935,2.917,141.538
Georges Home,Dilithium2,46.291,45.31568,-75.75848,7.877,291.264
Georges Home,Dilithium5,168.391,45.31801,-75.757045,9.345,95.774
Georges Home,Rainbow-III-Classic,104.735,45.316563333,-75.757133333,7.866,209.617
Georges Home,Dilithium2,108.577,45.315626667,-75.758498333,3.313,297.285
Georges Home,Dilithium5,23.256,45.317253333,-75.756855,7.938,156.383
Georges Home,Rainbow-I-Classic,30.965,45.315618333,-75.758495,3.112,298.187
Georges Home,Dilithium5,40.964,45.316708333,-75.758065,3.328,176.451
Georges Home,Dilithium5,110.818,45.317088333,-75.757913333,3.143,135.763
Georges Home,Dilithium5,115.955,45.317415,-75.75778,3.102,102.974
Georges Home,Dilithium5,26.247,45.31523,-75.757728333,2.801,342.43
Georges Home,Rainbow-I-Classic,33.484,45.315373333,-75.758473333,12.084,325.223
Georges Home,Dilithium5,50.372,45.316256667,-75.75724,3.663,238.492
Georges Home,Dilithium3,116.113,45.318025,-75.757193333,6.997,84.272
Georges Home,Dilithium2,115.42,45.316971667,-75.75694,3.279,176.95
Georges Home,Dilithium2,21.655,45.317245,-75.757856667,3.22,119.542
Georges Home,Rainbow-V-Classic,233.474,45.317988333,-75.757503333,0.0,64.189
Georges Home,Rainbow-V-Classic,143.632,45.31616,-75.758286667,8.483,237.181
Georges Home,Rainbow-V-Classic,140.449,45.316603333,-75.758113333,8.414,187.929
Georges Home,Dilithium5,23.468,45.315703333,-75.758463333,3.478,288.581
Georges Home,Dilithium2,37.899,45.315385,-75.758508333,2.804,324.124
Georges Home,Dilithium3,92.639,45.318038333,-75.757326667,3.522,74.005
Georges Home,Dilithium5,37.771,45.31601,-75.758338333,3.102,253.988
Georges Home,Dilithium5,38.142,45.317925,-75.757576667,3.102,63.662
Georges Home,Rainbow-III-Classic,161.522,45.316875,-75.757995,2.896,158.424
Georges Home,Dilithium3,32.404,45.315225,-75.757873333,6.801,341.947
Georges Home,Rainbow-I-Classic,113.559,45.315485,-75.757556667,3.066,316.132
Georges Home,Dilithium5,110.87,45.315891667,-75.758385,2.854,267.303
Georges Home,Dilithium2,37.103,45.317208333,-75.757863333,7.979,123.404
Georges Home,Rainbow-I-Classic,111.129,45.31536,-75.758441667,2.573,326.548
Georges Home,Dilithium2,31.854,45.317288333,-75.75683,3.663,154.882
Georges Home,Dilithium2,35.828,45.31746,-75.756766667,8.128,145.539
Georges Home,Dilithium3,23.254,45.31567,-75.757476667,3.395,296.983
Georges Home,Dilithium5,33.282,45.315346667,-75.757633333,8.499,330.459
Georges Home,Dilithium3,28.388,45.317138333,-75.757891667,7.928,130.588
Georges Home,Dilithium5,48.797,45.316438333,-75.757166667,3.411,221.459
Georges Home,Dilithium5,225.189,45.316001667,-75.758336667,2.392,254.908
Georges Home,Dilithium5,25.106,45.316065,-75.758313333,3.245,247.802
Georges Home,Dilithium5,29.062,45.317043333,-75.75694,8.169,170.397
Georges Home,Dilithium2,118.108,45.317986667,-75.75751,0.434,63.844
Georges Home,Rainbow-III-Classic,80.661,45.316286667,-75.757228333,3.606,235.624
