Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Rainbow-III-Classic,77.54,45.317985,-75.757525,2.387,62.953
Georges Home,Rainbow-III-Classic,75.961,45.31686,-75.757008333,14.293,184.613
Georges Home,Rainbow-III-Classic,82.998,45.316596667,-75.757121667,7.578,206.596
Georges Home,Rainbow-III-Classic,77.613,45.317915,-75.756721667,7.022,123.199
Georges Home,Rainbow-III-Classic,181.11,45.317033333,-75.757935,2.917,141.538
Georges Home,Rainbow-III-Classic,104.735,45.316563333,-75.757133333,7.866,209.617
Georges Home,Rainbow-III-Classic,161.522,45.316875,-75.757995,2.896,158.424
Georges Home,Rainbow-III-Classic,80.661,45.316286667,-75.757228333,3.606,235.624
Georges Home,Rainbow-III-Classic,226.691,45.317991667,-75.757488333,0.844,64.999
Georges Home,Rainbow-III-Classic,163.683,45.317606667,-75.7577,3.123,85.734
Georges Home,Rainbow-III-Classic,77.531,45.316686667,-75.758071667,13.901,178.825
Georges Home,Rainbow-III-Classic,68.449,45.316621667,-75.758101667,3.245,185.928
Georges Home,Rainbow-III-Classic,92.834,45.316923333,-75.757976667,13.18,153.237
Georges Home,Rainbow-III-Classic,81.59,45.317548333,-75.756733333,3.066,141.61
Georges Home,Rainbow-III-Classic,159.106,45.317323333,-75.756816667,3.279,152.841
Georges Home,Rainbow-III-Classic,91.462,45.315205,-75.757831667,2.979,344.421
Georges Home,Rainbow-III-Classic,88.76,45.316801667,-75.75702,3.519,189.788
Georges Home,Rainbow-III-Classic,158.721,45.315708333,-75.758461667,3.102,288.018
Georges Home,Rainbow-III-Classic,81.239,45.317126667,-75.756896667,3.781,165.015
Georges Home,Rainbow-III-Classic,153.233,45.315653333,-75.758486667,2.788,294.259
Georges Home,Rainbow-III-Classic,183.528,45.315428333,-75.758526667,2.317,319.434
Georges Home,Rainbow-III-Classic,68.963,45.316856667,-75.758006667,3.787,160.362
Georges Home,Rainbow-III-Classic,88.431,45.316448333,-75.758166667,7.866,205.051
Georges Home,Rainbow-III-Classic,92.382,45.31649,-75.757163333,14.492,216.222
Georges Home,Rainbow-III-Classic,90.827,45.317966667,-75.757555,0.0,62.16
Georges Home,Rainbow-III-Classic,154.587,45.316778333,-75.757018333,3.195,192.12
Georges Home,Rainbow-III-Classic,78.802,45.316541667,-75.758131667,2.984,194.734
Georges Home,Rainbow-III-Classic,155.834,45.315471667,-75.758538333,2.562,314.71
Georges Home,Rainbow-III-Classic,85.725,45.316435,-75.758178333,14.682,206.524
Georges Home,Rainbow-III-Classic,80.456,45.315266667,-75.757738333,9.004,338.295
Georges Home,Rainbow-III-Classic,157.128,45.316178333,-75.757248333,2.75,246.571
Georges Home,Rainbow-III-Classic,91.808,45.317601667,-75.757706667,2.943,85.994
Georges Home,Rainbow-III-Classic,76.771,45.317563333,-75.757718333,8.139,89.433
Georges Home,Rainbow-III-Classic,108.617,45.31523,-75.757993333,6.902,340.819
Georges Home,Rainbow-III-Classic,79.455,45.315895,-75.758386667,3.416,266.94
Georges Home,Rainbow-III-Classic,168.653,45.316313333,-75.75822,2.691,220.046
Georges Home,Rainbow-III-Classic,160.311,45.315226667,-75.757761667,2.381,342.527
Georges Home,Rainbow-III-Classic,166.082,45.31746,-75.756758333,3.279,146.044
Georges Home,Rainbow-III-Classic,78.285,45.317065,-75.75793,3.298,138.116
Georges Home,Rainbow-III-Classic,158.024,45.315578333,-75.757508333,2.865,306.542
Georges Home,Rainbow-III-Classic,85.323,45.317411667,-75.756786667,3.425,147.836
Georges Home,Rainbow-III-Classic,78.174,45.317968333,-75.757555,0.0,62.052
Georges Home,Rainbow-III-Classic,80.383,45.317253333,-75.756855,8.091,156.383
Georges Home,Rainbow-III-Classic,75.541,45.315611667,-75.758505,7.495,298.988
